issues,size_kb,topics,commits,commits_per_day,forks_per_day,age_days,days_since_update,recently_upload,has_homepage,stars,watchers,watchers_per_fork,activity_ratio,fork_star_ratio,issues_per_size,avg_growth_rate,creation_year,creation_month
295,201140,9,100,0.228310502283105,14.349315068493151,438,0,1,1,56041,56041,8.916626889419252,0.0,0.11214803183326791,0.0014666328595363451,127.65603644646924,2024,3
271,2778,0,0,0.0,9.917771883289126,754,0,1,1,55908,55908,7.476330569671035,0.0,0.1337530630131106,0.0975170924793091,74.05033112582781,2023,5
84,184257,5,1,0.0014388489208633094,9.56546762589928,695,0,1,1,55851,55851,8.401173285198556,0.0,0.1190288619924085,0.00045588251256390496,80.24568965517241,2023,6
383,3533,0,5,0.001072731173567904,2.0926839733962668,4661,0,1,1,55620,55620,5.702275989337708,0.0,0.17536541953578685,0.10837577815506508,11.930501930501931,2012,8
646,28042,8,34,0.006103033566684617,1.9420211811164962,5571,0,1,1,55333,55333,5.114428320547185,0.0,0.19552174070191924,0.023036051777627214,9.930545585068199,2010,2
811,103959,4,0,0.0,4.527454242928453,3005,0,1,0,54795,54795,4.027563395810364,0.0,0.24828454631724944,0.0078010773374374755,18.22854291417166,2017,3
222,369680,6,0,0.0,4.096759470561388,2191,0,1,0,54288,54288,6.048128342245989,0.0,0.16533736115971928,0.0006005177436763047,24.766423357664234,2019,5
38,20474,10,0,0.0,9.428005284015851,757,0,1,0,54192,54192,7.593106347204708,0.0,0.13169597549499013,0.001855921855921856,71.4934036939314,2023,4
37,203597,14,4,0.0014738393515106854,4.939572586588062,2714,0,1,1,53996,53996,4.027748769207817,0.0,0.24827305220660406,0.0001817306653307007,19.888029465930018,2017,12
264,16684,13,3,0.0016366612111292963,9.238952536824877,1833,0,1,1,53948,53948,3.185591969294361,0.0,0.31390757938052605,0.015822595145340127,29.4154852780807,2020,5
164,880836,3,100,0.03221649484536082,3.1475515463917527,3104,0,1,1,53942,53942,5.5211873080859775,0.0,0.18111710509241236,0.00018618654756782468,17.372624798711755,2016,11
282,13160,8,4,0.0007670182166826462,1.815340364333653,5215,0,1,1,52900,52900,5.587831414386818,0.0,0.1789569195289314,0.02142694324139503,10.141871165644172,2011,2
60,1367,13,0,0.0,3.027807486631016,1870,0,1,1,52552,52552,9.2815259625574,0.0,0.10773885410918502,0.043859649122807015,28.087653661143772,2020,4
291,50146,16,7,0.0034602076124567475,0.9065743944636678,2023,0,1,1,52132,52132,28.425299890948747,0.0,0.0351792530642779,0.005802939358286637,25.75691699604743,2019,11
119,1008,0,0,0.0,19.255760368663594,434,0,1,0,50287,50287,6.017350723943999,0.0,0.16618278714603882,0.11793855302279485,115.60229885057471,2024,3
